"No.","Time","Source","Destination","Protocol","Length","Info"
"2101","117.322923387","172.16.0.4","172.16.208.128","TCP","66","59256  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427938405 TSecr=164752745"
"2102","117.824497118","172.16.0.4","172.16.208.128","TCP","74","59258  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427938906 TSecr=0 WS=128"
"2103","117.824575220","172.16.208.128","172.16.0.4","TCP","74","12345  >  59258 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164753248 TSecr=1427938906 WS=128"
"2104","117.825397938","172.16.0.4","172.16.208.128","TCP","66","59258  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427938907 TSecr=164753248"
"2105","117.825685544","172.16.0.4","172.16.208.128","TCP","67","59258  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427938907 TSecr=164753248"
"2106","117.825697745","172.16.0.4","172.16.208.128","TCP","66","59258  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427938907 TSecr=164753248"
"2107","117.825733545","172.16.208.128","172.16.0.4","TCP","66","12345  >  59258 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164753249 TSecr=1427938907"
"2108","117.826088253","172.16.208.128","172.16.0.4","TCP","66","12345  >  59258 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164753249 TSecr=1427938907"
"2109","117.826668966","172.16.0.4","172.16.208.128","TCP","66","59258  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427938908 TSecr=164753249"
"2110","117.957504269","172.16.0.4","172.16.208.128","TCP","74","59260  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427939039 TSecr=0 WS=128"
"2111","117.957546770","172.16.208.128","172.16.0.4","TCP","74","12345  >  59260 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164753381 TSecr=1427939039 WS=128"
"2112","117.958420590","172.16.0.4","172.16.208.128","TCP","66","59260  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427939040 TSecr=164753381"
"2113","117.958442790","172.16.0.4","172.16.208.128","TCP","67","59260  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427939040 TSecr=164753381"
"2114","117.958680496","172.16.208.128","172.16.0.4","TCP","66","12345  >  59260 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164753382 TSecr=1427939040"
