Source,Destination,Protocol,Length,Info,label,cluster
8071,6623,15,66,32551,1,0
8071,6623,15,66,32552,1,0
8071,6623,15,66,32553,1,0
8073,6622,15,66,40642,1,0
8071,6623,4,90,76721,1,1
8073,6622,15,66,30771,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,14136,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,14140,1,0
8073,6622,15,66,30772,1,0
8071,6623,15,66,14137,1,0
10155,11194,13,212,76629,1,1
10155,11194,13,217,76629,1,1
8070,11194,13,212,76629,1,1
8070,11194,13,217,76629,1,1
8070,11194,13,217,76629,1,1
10155,11194,13,217,76629,1,1
24083,18755,0,60,77614,1,1
24085,18753,0,42,9880,1,0
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
8073,6622,15,74,47316,1,0
8071,6623,15,74,17640,1,0
8073,6622,15,66,47312,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,47313,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,17634,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,17637,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,17638,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76687,1,1
8071,6623,15,66,17631,1,0
8071,6623,4,96,76716,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,17632,1,0
8071,6623,4,114,77021,1,1
8073,6622,15,74,31727,1,0
8071,6623,15,74,47716,1,0
8073,6622,15,66,31724,1,0
8073,6622,4,72,76639,1,1
8071,6623,15,66,17633,1,0
8071,6623,4,105,76690,1,1
8071,6623,5,204,76534,1,1
8071,6623,15,66,47715,1,0
8073,6622,15,66,31725,1,0
8073,6622,15,66,31726,1,0
8071,6623,15,66,47714,1,0
8071,6623,4,90,76720,1,1
8073,6622,15,66,47314,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,17635,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,17639,1,0
8073,6622,15,66,47315,1,0
8073,6622,15,74,47331,1,0
8071,6623,15,66,17636,1,0
8071,6623,15,74,17650,1,0
8073,6622,15,66,47327,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,47328,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,17644,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,17647,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,17648,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76688,1,1
8071,6623,15,66,17641,1,0
8071,6623,4,97,76717,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,17642,1,0
8071,6623,4,113,77168,1,1
8073,6622,15,74,44074,1,0
8071,6623,15,74,11645,1,0
8073,6622,15,66,44071,1,0
8073,6622,4,83,76673,1,1
8071,6623,15,66,17643,1,0
8071,6623,4,88,76691,1,1
8073,6622,5,1566,76571,1,1
8073,6622,15,66,44073,1,0
8071,6623,15,66,11642,1,0
8071,6623,15,66,11643,1,0
8071,6623,15,66,11644,1,0
8073,6622,15,66,44072,1,0
8071,6623,4,90,76721,1,1
8073,6622,15,66,47329,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,17645,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,17649,1,0
8073,6622,15,66,47330,1,0
8071,6623,15,66,17646,1,0
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
24089,18762,7,62,77223,1,1
8070,11194,13,166,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,171,76629,1,1
8073,6622,15,74,36299,1,0
8071,6623,15,74,14900,1,0
8073,6622,15,66,36295,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,36296,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,14894,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,14897,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,14898,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76687,1,1
8071,6623,15,66,14891,1,0
8071,6623,4,96,76716,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,14892,1,0
8071,6623,4,113,77124,1,1
8073,6622,15,74,36994,1,0
8071,6623,15,74,6851,1,0
8073,6622,15,66,36991,1,0
8073,6622,4,72,76639,1,1
8071,6623,15,66,14893,1,0
8071,6623,4,105,76690,1,1
8071,6623,5,204,76534,1,1
8071,6623,15,66,6850,1,0
8073,6622,15,66,36992,1,0
8073,6622,15,66,36993,1,0
8071,6623,15,66,6849,1,0
8071,6623,4,90,76720,1,1
8073,6622,15,66,36297,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,14895,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,14899,1,0
8073,6622,15,66,36298,1,0
8073,6622,15,74,36304,1,0
8071,6623,15,66,14896,1,0
8071,6623,15,74,14910,1,0
8073,6622,15,66,36300,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,36301,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,14904,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,14907,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,14908,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76688,1,1
8071,6623,15,66,14901,1,0
8071,6623,4,97,76717,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,14902,1,0
8071,6623,4,115,76893,1,1
8073,6622,15,74,37904,1,0
8071,6623,15,74,37518,1,0
8073,6622,15,66,37901,1,0
8073,6622,4,82,76644,1,1
8071,6623,15,66,14903,1,0
8071,6623,4,135,76693,1,1
8071,6623,5,1566,76545,1,1
8071,6623,15,66,37517,1,0
8073,6622,15,66,37902,1,0
8073,6622,15,66,37903,1,0
8071,6623,15,66,37516,1,0
8071,6623,4,90,76721,1,1
8073,6622,15,66,36302,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,14905,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,14909,1,0
8073,6622,15,66,36303,1,0
8071,6623,15,66,14906,1,0
10155,11119,10,85,77243,1,1
24093,18763,10,105,77243,1,1
8070,11119,10,85,77243,1,1
24092,18763,10,105,77243,1,1
10155,11119,10,85,77242,1,1
24093,18763,10,105,77242,1,1
8070,11119,10,85,77242,1,1
24092,18763,10,105,77242,1,1
24083,18755,0,60,77614,1,1
24085,18753,0,42,9880,1,0
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
10155,11194,13,166,76629,1,1
10155,11194,13,171,76629,1,1
8070,11194,13,166,76629,1,1
8070,11194,13,171,76629,1,1
8073,6622,15,74,37124,1,0
8071,6623,15,74,15156,1,0
8073,6622,15,66,37120,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,37121,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,15150,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,15153,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,15154,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76687,1,1
8071,6623,15,66,15147,1,0
8071,6623,4,96,76716,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,15148,1,0
8071,6623,4,112,77185,1,1
8073,6622,15,74,28613,1,0
8071,6623,15,74,20247,1,0
8073,6622,15,66,28610,1,0
8073,6622,4,72,76639,1,1
8071,6623,15,66,15149,1,0
8071,6623,4,105,76690,1,1
8071,6623,5,204,76534,1,1
8073,6622,15,66,28611,1,0
8071,6623,15,66,20246,1,0
8073,6622,15,66,28612,1,0
8071,6623,15,66,20245,1,0
8071,6623,4,90,76720,1,1
8073,6622,15,66,37122,1,0
8073,6622,4,72,76642,1,1
8071,6623,15,66,15151,1,0
8071,6623,4,80,76719,1,1
8071,6623,15,66,15155,1,0
8073,6622,15,66,37123,1,0
8073,6622,15,74,37131,1,0
8071,6623,15,66,15152,1,0
8071,6623,15,74,15166,1,0
8073,6622,15,66,37127,1,0
8071,6623,4,86,76718,1,1
8073,6622,15,66,37128,1,0
8073,6622,4,80,76689,1,1
8071,6623,15,66,15160,1,0
8071,6623,4,100,77221,1,1
8073,6622,4,79,76640,1,1
8071,6623,15,66,15163,1,0
8071,6623,4,89,77219,1,1
8073,6622,4,85,76638,1,1
8071,6623,15,66,15164,1,0
8071,6623,4,103,77220,1,1
8073,6622,4,74,76688,1,1
8071,6623,15,66,15157,1,0
8071,6623,4,97,76717,1,1
8073,6622,4,72,76641,1,1
8071,6623,15,66,15158,1,0
8071,6623,4,115,76879,1,1
8073,6622,15,74,32496,1,0
8071,6623,15,74,36808,1,0
8073,6622,15,66,32493,1,0
8073,6622,4,83,76675,1,1
8071,6623,15,66,15159,1,0
8071,6623,4,88,76691,1,1
8073,6622,5,1566,76573,1,1
8073,6622,15,66,32495,1,0
